questao_id,materia,assunto,ativa,n_alt,status
79,Raciocínio Lógico,Equivalências lógicas,true,5,EXPLICACAO_INCOMPLETA
80,Raciocínio Lógico,Condicional e contrapositiva,true,5,EXPLICACAO_INCOMPLETA
81,Raciocínio Lógico,Negação de proposições,true,5,EXPLICACAO_INCOMPLETA
82,Raciocínio Lógico,Equivalências lógicas,true,5,EXPLICACAO_INCOMPLETA
83,Raciocínio Lógico,Quantificadores,true,5,EXPLICACAO_INCOMPLETA
84,Raciocínio Lógico,Condicional e contrapositiva,true,5,EXPLICACAO_INCOMPLETA
85,Raciocínio Lógico,"Tautologia, contradição e contingência",true,5,EXPLICACAO_INCOMPLETA
86,Raciocínio Lógico,Negação de proposições,true,5,EXPLICACAO_INCOMPLETA
87,Raciocínio Lógico,Proposições e conectivos,true,5,EXPLICACAO_INCOMPLETA
88,Raciocínio Lógico,Leis de De Morgan,true,5,EXPLICACAO_INCOMPLETA
89,Raciocínio Lógico,Tabela-verdade,true,5,EXPLICACAO_INCOMPLETA
90,Raciocínio Lógico,Argumentação lógica,true,5,EXPLICACAO_INCOMPLETA
91,Informática,Editor de textos,true,5,EXPLICACAO_INCOMPLETA
92,Informática,Editor de textos,true,5,EXPLICACAO_INCOMPLETA
93,Informática,Planilhas eletrônicas,true,5,EXPLICACAO_INCOMPLETA
94,Informática,Internet e navegadores,true,5,EXPLICACAO_INCOMPLETA
95,Informática,Correio eletrônico,true,5,EXPLICACAO_INCOMPLETA
96,Informática,Editor de textos,true,5,EXPLICACAO_INCOMPLETA
97,Informática,Planilhas eletrônicas,true,5,EXPLICACAO_INCOMPLETA
98,Informática,Internet e navegadores,true,5,EXPLICACAO_INCOMPLETA
99,Informática,Correio eletrônico,true,5,EXPLICACAO_INCOMPLETA
100,Informática,Correio eletrônico,true,5,EXPLICACAO_INCOMPLETA
101,Informática,Windows,true,5,EXPLICACAO_INCOMPLETA
102,Informática,Windows,true,5,EXPLICACAO_INCOMPLETA
103,Informática,Windows,true,5,EXPLICACAO_INCOMPLETA
104,Informática,Editor de textos,true,5,EXPLICACAO_INCOMPLETA
105,Informática,Planilhas eletrônicas,true,5,EXPLICACAO_INCOMPLETA
106,Informática,Internet e navegadores,true,5,EXPLICACAO_INCOMPLETA
107,Informática,Internet e navegadores,true,5,EXPLICACAO_INCOMPLETA
108,Informática,Windows,true,5,EXPLICACAO_INCOMPLETA
109,Informática,Planilhas eletrônicas,true,5,EXPLICACAO_INCOMPLETA
110,Informática,Editor de textos,true,5,EXPLICACAO_INCOMPLETA
111,Legislação Específica,Constituição Federal de 1988,true,5,EXPLICACAO_INCOMPLETA
112,Legislação Específica,Direitos e Garantias Fundamentais,true,5,EXPLICACAO_INCOMPLETA
113,Legislação Específica,Defesa do Estado e das Instituições Democráticas,true,5,EXPLICACAO_GENERICA
114,Língua Portuguesa,Fonemas e dígrafos,true,5,EXPLICACAO_GENERICA
115,Língua Portuguesa,Crase,true,5,EXPLICACAO_GENERICA
116,Língua Portuguesa,Concordância verbal,true,5,EXPLICACAO_INCOMPLETA
117,Língua Portuguesa,Redação oficial,true,5,EXPLICACAO_GENERICA
118,Língua Portuguesa,Redação oficial,true,5,EXPLICACAO_GENERICA
119,Língua Portuguesa,Ortografia,true,5,EXPLICACAO_GENERICA
120,Língua Portuguesa,Regência verbal e nominal,true,5,EXPLICACAO_GENERICA
121,Língua Portuguesa,Conectores,true,5,EXPLICACAO_GENERICA
122,Língua Portuguesa,Significação das palavras,true,5,EXPLICACAO_GENERICA
123,Língua Portuguesa,"Transitividade Verbal e Termos Integrantes (Objeto Direto e Indireto, Complemento Nominal e Agente da Passiva)",true,5,EXPLICACAO_GENERICA
124,Direitos Humanos e Cidadania,Convenção Interamericana para Prevenir e Punir a Tortura,true,5,EXPLICACAO_GENERICA
125,Direitos Humanos e Cidadania,"Pacto Internacional sobre Direitos Econômicos, Sociais e Culturais",true,5,EXPLICACAO_GENERICA
126,Direitos Humanos e Cidadania,Estatuto da Pessoa com Deficiência,true,5,EXPLICACAO_GENERICA
127,Direitos Humanos e Cidadania,Tratados de Direitos Humanos com força de Emenda Constitucional,true,5,EXPLICACAO_GENERICA
128,Direitos Humanos e Cidadania,Abuso de Autoridade,true,5,EXPLICACAO_GENERICA
129,Legislação Específica,Lei Maria da Penha,true,5,EXPLICACAO_INCOMPLETA
130,Direitos Humanos e Cidadania,Pacto de San José da Costa Rica,true,5,EXPLICACAO_INCOMPLETA
131,Direitos Humanos e Cidadania,Estatuto da Igualdade Racial,true,5,EXPLICACAO_INCOMPLETA
132,Legislação Específica,Estatuto Estadual da Igualdade Racial,true,5,EXPLICACAO_INCOMPLETA
133,Legislação Específica,Lei Maria da Penha,true,5,EXPLICACAO_INCOMPLETA
134,Legislação Específica,Lei Maria da Penha,true,5,EXPLICACAO_INCOMPLETA
135,Legislação Específica,Estatuto Nacional da Igualdade Racial,true,5,EXPLICACAO_INCOMPLETA
136,Legislação Específica,Estatuto Estadual da Igualdade Racial,true,5,EXPLICACAO_INCOMPLETA
137,Legislação Específica,Improbidade Administrativa,true,5,EXPLICACAO_INCOMPLETA
138,Direitos Humanos e Cidadania,Lei de Tortura,true,5,EXPLICACAO_INCOMPLETA
139,Direitos Humanos e Cidadania,Direitos fundamentais,true,5,EXPLICACAO_INCOMPLETA
140,Direitos Humanos e Cidadania,Pacto de San José da Costa Rica,true,5,EXPLICACAO_INCOMPLETA
141,Direitos Humanos e Cidadania,Pessoa com deficiência,true,5,EXPLICACAO_INCOMPLETA
142,Legislação Específica,Estatuto do Desarmamento,true,5,EXPLICACAO_INCOMPLETA
143,Legislação Específica,Lei de Drogas,true,5,EXPLICACAO_INCOMPLETA
144,Direitos Humanos e Cidadania,Pacto de San José da Costa Rica,true,5,EXPLICACAO_INCOMPLETA
145,Direitos Humanos e Cidadania,Declaração Universal dos Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
146,Direitos Humanos e Cidadania,Entendimentos do STF e STJ,true,5,EXPLICACAO_INCOMPLETA
147,Direitos Humanos e Cidadania,Casos do Brasil na Corte Interamericana de Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
148,Direitos Humanos e Cidadania,Casos do Brasil na Corte Interamericana de Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
149,Direitos Humanos e Cidadania,Casos do Brasil na Corte Interamericana de Direitos Humanos,true,5,EXPLICACAO_INCOMPLETA
